REGION,TIMESLICE,FUEL,YEAR,VALUE
"RE2","S103","ELC003_B",2028,6.84487383483978
"RE2","S103","ELC003_B",2029,7.32061604068716
"RE2","S103","ELC003_B",2030,7.82888653066194
"RE2","S103","ELC003_B",2031,8.38956455199774
"RE2","S103","ELC003_B",2032,8.99382465415722
"RE2","S103","ELC003_B",2033,9.64464014447454
"RE2","S103","ELC003_B",2034,10.3452427908337
"RE2","S103","ELC003_B",2035,11.3371079272548
"RE2","S103","ELC003_B",2036,12.2138317925436
"RE2","S103","ELC003_B",2037,13.1566351871544
"RE2","S103","ELC003_B",2038,14.1705460193988
"RE2","S103","ELC003_B",2039,15.2609831364636
"RE2","S103","ELC003_B",2040,16.4337780432372
"RE2","S103","ELC003_B",2041,17.4000160515336
"RE2","S103","ELC003_B",2042,18.4229293373208
"RE2","S103","ELC003_B",2043,19.5058300216248
"RE2","S103","ELC003_B",2044,20.6522474137356
"RE2","S103","ELC003_B",2045,21.8658845735544
"RE2","S103","ELC003_B",2046,23.1755515243008
"RE2","S103","ELC003_B",2047,24.5618424945864
"RE2","S103","ELC003_B",2048,26.0292424220628
"RE2","S103","ELC003_B",2049,27.5824968702984
"RE2","S103","ELC003_B",2050,29.2266228881916
"RE2","S104","ELC003_B",2015,3.86875994134344
"RE2","S104","ELC003_B",2016,4.0411308500928
"RE2","S104","ELC003_B",2017,4.36292279446992
"RE2","S104","ELC003_B",2018,4.68471338247156
"RE2","S104","ELC003_B",2019,5.00650532684868
"RE2","S104","ELC003_B",2020,5.3282959162067
"RE2","S104","ELC003_B",2021,5.61657589024308
"RE2","S104","ELC003_B",2022,5.92531678839526
"RE2","S104","ELC003_B",2023,6.25565932515468
"RE2","S104","ELC003_B",2024,6.60884322364092
"RE2","S104","ELC003_B",2025,6.98620587143364
"RE2","S104","ELC003_B",2026,7.47301445670756
"RE2","S104","ELC003_B",2027,7.99336078209996
"RE2","S104","ELC003_B",2028,8.5494665892907
"RE2","S104","ELC003_B",2029,9.14368383743124
"RE2","S104","ELC003_B",2030,9.77852995398694
"RE2","S104","ELC003_B",2031,10.4788347552766
"RE2","S104","ELC003_B",2032,11.2335749709923
"RE2","S104","ELC003_B",2033,12.0464643571983
"RE2","S104","ELC003_B",2034,12.9215394954615
"RE2","S104","ELC003_B",2035,14.1604108098972
"RE2","S104","ELC003_B",2036,15.2554669899204
"RE2","S104","ELC003_B",2037,16.4330586179016
"RE2","S104","ELC003_B",2038,17.6994657123132
"RE2","S104","ELC003_B",2039,19.0614565868004
"RE2","S104","ELC003_B",2040,20.5263149776908
"RE2","S104","ELC003_B",2041,21.7331771885304
"RE2","S104","ELC003_B",2042,23.0108286356712
"RE2","S104","ELC003_B",2043,24.3634062643272
"RE2","S104","ELC003_B",2044,25.7953182948084
"RE2","S104","ELC003_B",2045,27.3111899675016
"RE2","S104","ELC003_B",2046,28.9470059238912
"RE2","S104","ELC003_B",2047,30.6785277341496
"RE2","S104","ELC003_B",2048,32.5113572290092
"RE2","S104","ELC003_B",2049,34.4514217693176
"RE2","S104","ELC003_B",2050,36.5049878097924
"RE2","S105","ELC003_B",2015,3.16539229382376
"RE2","S105","ELC003_B",2016,3.3064249643712
"RE2","S105","ELC003_B",2017,3.56971287997968
"RE2","S105","ELC003_B",2018,3.83299968581124
"RE2","S105","ELC003_B",2019,4.09628760141972
"RE2","S105","ELC003_B",2020,4.35957440836106
