REGION,TECHNOLOGY,FUEL,YEAR,VALUE
"RE1","PWRGEO_A","ELC001_A",2020,34.0567895300026
"RE1","PWRGEO_A","ELC001_A",2021,37.5536889058007
"RE1","PWRGEO_A","ELC001_A",2022,40.0586590698077
"RE1","PWRGEO_A","ELC001_A",2023,41.8044069704301
"RE1","PWRGEO_A","ELC001_A",2024,42.1306358663916
"RE1","PWRGEO_A","ELC001_A",2025,42.3837296986551
"RE1","PWRGEO_A","ELC001_A",2026,50.0673866623108
"RE1","PWRGEO_A","ELC001_A",2027,53.966740509524
"RE1","PWRGEO_A","ELC001_A",2028,61.1800366334879
"RE1","PWRGEO_A","ELC001_A",2029,65.8635200395608
"RE1","PWRGEO_A","ELC001_A",2030,70.5946485667084
"RE1","PWRGEO_A","ELC001_A",2031,75.2644477070142
"RE1","PWRGEO_A","ELC001_A",2032,81.0953938550786
"RE1","PWRGEO_A","ELC001_A",2033,87.3621184796516
"RE1","PWRGEO_A","ELC001_A",2034,94.0935667388197
"RE1","PWRGEO_A","ELC001_A",2035,103.696378121257
"RE1","PWRGEO_A","ELC001_A",2036,112.063253324267
"RE1","PWRGEO_A","ELC001_A",2037,122.906298734844
"RE1","PWRGEO_A","ELC001_A",2038,132.178472143276
"RE1","PWRGEO_A","ELC001_A",2039,141.603250246996
"RE1","PWRGEO_A","ELC001_A",2040,150.835016365457
"RE1","PWRGEO_A","ELC001_A",2041,159.027847681842
"RE1","PWRGEO_A","ELC001_A",2042,159.294013896946
"RE1","PWRGEO_A","ELC001_A",2043,156.517101886703
"RE1","PWRGEO_A","ELC001_A",2044,153.976500833513
"RE1","PWRGEO_A","ELC001_A",2045,151.436093665604
"RE1","PWRGEO_A","ELC001_A",2046,147.541479659228
"RE1","PWRGEO_A","ELC001_A",2047,145.052575752603
"RE1","PWRGEO_A","ELC001_A",2048,143.564135402636
"RE1","PWRGEO_A","ELC001_A",2049,143.564135402636
"RE1","PWRGEO_A","ELC001_A",2050,143.564135402636
"RE1","MINSOL_A","SOL_A",2015,0.123688533813408
"RE1","MINSOL_A","SOL_A",2016,0.123688533813408
"RE1","MINSOL_A","SOL_A",2017,0.123688533813408
"RE1","MINSOL_A","SOL_A",2018,0.121237047816912
"RE1","MINSOL_A","SOL_A",2019,0.121237047816912
"RE1","MINSOL_A","SOL_A",2020,0.121237047816912
"RE1","MINSOL_A","SOL_A",2021,0.123688533813408
"RE1","MINSOL_A","SOL_A",2022,0.357529429962483
"RE1","MINSOL_A","SOL_A",2023,1.24049649831665
"RE1","MINSOL_A","SOL_A",2024,3.01451090035594
"RE1","MINSOL_A","SOL_A",2025,4.80904638953421
"RE1","MINSOL_A","SOL_A",2026,4.90628819880564
"RE1","MINSOL_A","SOL_A",2027,6.16119817432588
"RE1","MINSOL_A","SOL_A",2028,7.51476153060466
"RE1","MINSOL_A","SOL_A",2029,8.01818580947721
"RE1","MINSOL_A","SOL_A",2030,8.88267489807852
"RE1","MINSOL_A","SOL_A",2031,9.95919351573406
"RE1","MINSOL_A","SOL_A",2032,10.4781870740084
"RE1","MINSOL_A","SOL_A",2033,11.0359678576145
"RE1","MINSOL_A","SOL_A",2034,11.6351121809633
"RE1","MINSOL_A","SOL_A",2035,12.4879029297244
"RE1","MINSOL_A","SOL_A",2036,13.261385422098
"RE1","MINSOL_A","SOL_A",2037,15.0607228629053
"RE1","MINSOL_A","SOL_A",2038,16.2221603406982
"RE1","MINSOL_A","SOL_A",2039,18.5428033840295
"RE1","MINSOL_A","SOL_A",2040,23.0674896051295
"RE1","MINSOL_A","SOL_A",2041,24.5333822337907
"RE1","MINSOL_A","SOL_A",2042,28.4896356601411
"RE1","MINSOL_A","SOL_A",2043,36.371402337337
"RE1","MINSOL_A","SOL_A",2044,41.1281773692903
"RE1","MINSOL_A","SOL_A",2045,41.1281773692903
"RE1","MINSOL_A","SOL_A",2046,40.887107013115
"RE1","MINSOL_A","SOL_A",2047,40.0113694047871
"RE1","MINSOL_A","SOL_A",2048,37.4794970393436
"RE1","MINSOL_A","SOL_A",2049,36.3455777042981
