REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
"RE1","S102","PWRCOA_A",1,2046,10.2590132344307
"RE1","S102","PWRCOA_A",1,2047,10.2590132344307
"RE1","S102","PWRCOA_A",1,2048,10.2590132344307
"RE1","S102","PWRCOA_A",1,2049,10.2590132344307
"RE1","S102","PWRCOA_A",1,2050,10.2590132344307
"RE1","S102","PWROHC_A",1,2015,3.71417445919455
"RE1","S102","PWROHC_A",1,2016,3.03675064594464
"RE1","S102","PWROHC_A",1,2017,4.39019447969894
"RE1","S102","PWROHC_A",1,2018,4.25087762335644
"RE1","S102","PWROHC_A",1,2019,3.87259630309006
"RE1","S102","PWROHC_A",1,2020,4.08196904987973
"RE1","S102","PWRNGS001_A",1,2015,1.29383529682448
"RE1","S102","PWRNGS001_A",1,2016,1.29383529682448
"RE1","S102","PWRNGS001_A",1,2017,1.29383529682448
"RE1","S102","PWRNGS001_A",1,2018,1.29383529682448
"RE1","S102","PWRNGS001_A",1,2019,1.29383529682448
"RE1","S102","PWRNGS001_A",1,2020,1.29383529682448
"RE1","S102","PWRNGS001_A",1,2021,4.48511272094852
"RE1","S102","PWRNGS001_A",1,2022,4.36694869360995
"RE1","S102","PWRNGS001_A",1,2023,4.14271359340709
"RE1","S102","PWRNGS001_A",1,2024,3.77031686046817
"RE1","S102","PWRNGS001_A",1,2025,3.37319963042717
"RE1","S102","PWRNGS001_A",1,2045,5.03919077247116
"RE1","S102","PWRNGS001_A",1,2046,23.8573528224718
"RE1","S102","PWRNGS001_A",1,2047,43.3782565294954
"RE1","S102","PWRNGS001_A",1,2048,64.5928208712859
"RE1","S102","PWRNGS001_A",1,2049,85.4601149873432
"RE1","S102","PWRNGS001_A",1,2050,100.784228671703
"RE1","S102","PWRNGS002_A",1,2015,0.054258347775489
"RE1","S102","PWRNGS002_A",1,2016,0.054258347775489
"RE1","S102","PWRNGS002_A",1,2018,0.054258347775489
"RE1","S102","PWRNGS002_A",1,2019,0.054258347775489
"RE1","S102","PWRNGS002_A",1,2020,0.324124599082453
"RE1","S102","PWRNGS002_A",1,2050,2.61368998028543
"RE1","S102","PWRTRN_A",1,2015,36.2749554073064
"RE1","S102","PWRTRN_A",1,2016,37.8048085430349
"RE1","S102","PWRTRN_A",1,2017,40.7219360019624
"RE1","S102","PWRTRN_A",1,2018,43.6252969821044
"RE1","S102","PWRTRN_A",1,2019,46.5149168066918
"RE1","S102","PWRTRN_A",1,2020,49.3907702981266
"RE1","S102","PWRTRN_A",1,2021,51.9429586614956
"RE1","S102","PWRTRN_A",1,2022,54.6716140687598
"RE1","S102","PWRTRN_A",1,2023,57.5859255270157
"RE1","S102","PWRTRN_A",1,2024,60.6958936838823
"RE1","S102","PWRTRN_A",1,2025,64.0123082244286
"RE1","S102","PWRTRN_A",1,2026,68.3130720644709
"RE1","S102","PWRTRN_A",1,2027,72.8988908448993
"RE1","S102","PWRTRN_A",1,2028,77.7878290988232
"RE1","S102","PWRTRN_A",1,2029,82.9989434648151
"RE1","S102","PWRTRN_A",1,2030,88.552587765919
